conid,start,end,open,high,low,close,volume,source
265598,2023-05-15T13:30:00+00:00,2023-05-16T13:30:00+00:00,173.1600037,173.2100067,171.4700012,172.0700073,37266700,yahoo
265598,2023-05-16T13:30:00+00:00,2023-05-17T13:30:00+00:00,171.9900055,173.1399994,171.8000031,172.0700073,42110300,yahoo
265598,2023-05-17T13:30:00+00:00,2023-05-18T13:30:00+00:00,171.7100067,172.9299927,170.4199982,172.6900024,57951600,yahoo
265598,2023-05-18T13:30:00+00:00,2023-05-19T13:30:00+00:00,173,175.2400055,172.5800018,175.0500031,65496700,yahoo
265598,2023-05-19T13:30:00+00:00,2023-05-22T13:30:00+00:00,176.3899994,176.3899994,174.9400024,175.1600037,55809500,yahoo
265598,2023-05-22T13:30:00+00:00,2023-05-23T13:30:00+00:00,173.9799957,174.7100067,173.4499969,174.1999969,43570900,yahoo
265598,2023-05-23T13:30:00+00:00,2023-05-24T13:30:00+00:00,173.1300049,173.3800049,171.2799988,171.5599976,50747300,yahoo
265598,2023-05-24T13:30:00+00:00,2023-05-25T13:30:00+00:00,171.0899963,172.4199982,170.5200043,171.8399963,45143500,yahoo
265598,2023-05-25T13:30:00+00:00,2023-05-26T13:30:00+00:00,172.4100037,173.8999939,171.6900024,172.9900055,56058300,yahoo
265598,2023-05-26T13:30:00+00:00,2023-05-30T13:30:00+00:00,173.3200073,175.7700043,173.1100006,175.4299927,54835000,yahoo
265598,2023-05-30T13:30:00+00:00,2023-05-31T13:30:00+00:00,176.9600067,178.9900055,176.5700073,177.3000031,55964400,yahoo
265598,2023-05-31T13:30:00+00:00,2023-06-01T13:30:00+00:00,177.3300018,179.3500061,176.7599945,177.25,99625300,yahoo
265598,2023-06-01T13:30:00+00:00,2023-06-02T13:30:00+00:00,177.6999969,180.1199951,176.9299927,180.0899963,68901800,yahoo
265598,2023-06-02T13:30:00+00:00,2023-06-05T13:30:00+00:00,181.0299988,181.7799988,179.2599945,180.9499969,61996900,yahoo
265598,2023-06-05T13:30:00+00:00,2023-06-06T13:30:00+00:00,182.6300049,184.9499969,178.0399933,179.5800018,121946500,yahoo
265598,2023-06-06T13:30:00+00:00,2023-06-07T13:30:00+00:00,179.9700012,180.1199951,177.4299927,179.2100067,64848400,yahoo
265598,2023-06-07T13:30:00+00:00,2023-06-08T13:30:00+00:00,178.4400024,181.2100067,177.3200073,177.8200073,61944600,yahoo
265598,2023-06-08T13:30:00+00:00,2023-06-09T13:30:00+00:00,177.8999939,180.8399963,177.4600067,180.5700073,50214900,yahoo
265598,2023-06-09T13:30:00+00:00,2023-06-12T13:30:00+00:00,181.5,182.2299957,180.6300049,180.9600067,48900000,yahoo
265598,2023-06-12T13:30:00+00:00,2023-06-13T13:30:00+00:00,181.2700043,183.8899994,180.9700012,183.7899933,54274900,yahoo
265598,2023-06-13T13:30:00+00:00,2023-06-14T13:30:00+00:00,182.8000031,184.1499939,182.4400024,183.3099976,54929100,yahoo
265598,2023-06-14T13:30:00+00:00,2023-06-15T13:30:00+00:00,183.3699951,184.3899994,182.0200043,183.9499969,57462900,yahoo
